"name","type","description"
"age","integer","age of individual"
"workclass","string","Values: Private, Self-emp-not-inc, Self-emp-inc, Federal-gov, Local-gov, State-gov, Without-pay, Never-worked"
"fnlwgt","float","Final sampling weight. Inverse of sampling fraction adjusted for non-response and over or under sampling of particular groups"
"education","string","Values: Bachelors, Some-college, 11th, HS-grad, Prof-school, Assoc-acdm, Assoc-voc, 9th, 7th-8th, 12th, Masters, 1st-4th, 10th, Doctorate, 5th-6th, Preschool"
"education_num","integer",""
"marital_status","string","Values: Married-civ-spouse, Divorced, Never-married, Separated, Widowed, Married-spouse-absent, Married-AF-spouse"
"occupation","string","Values: Tech-support, Craft-repair, Other-service, Sales, Exec-managerial, Prof-specialty, Handlers-cleaners, Machine-op-inspct, Adm-clerical, Farming-fishing, Transport-moving, Priv-house-serv, Protective-serv, Armed-Forces"
"relationship","string","Values: Wife, Own-child, Husband, Not-in-family, Other-relative, Unmarried"
"race","string","Values: White, Asian-Pac-Islander, Amer-Indian-Eskimo, Other, Black"
"sex","string","Values: Female, Male"
"capital_gain","float",""
"capital_loss","float",""
"hours_per_week","float","working hours per week"
"native_country","string","Values: United-States, Cambodia, England, Puerto-Rico, Canada, Germany, Outlying-US(Guam-USVI-etc), India, Japan, Greece, South, China, Cuba, Iran, Honduras, Philippines, Italy, Poland, Jamaica, Vietnam, Mexico, Portugal, Ireland, France, Dominican-Republic, Laos, Ecuador, Taiwan, Haiti, Columbia, Hungary, Guatemala, Nicaragua, Scotland, Thailand, Yugoslavia, El-Salvador, Trinadad&Tobago, Peru, Hong, Holand-Netherlands"
"income_level","string","Predictor class if individual earns greater or less than $50000 per year. Values: <=50K, >50K"
